idx,ts_system,world_frame,base_frame,x,y,z,qx,qy,qz,qw,yaw_rad
0,1774839651.176594,map,base_footprint,0.48323429838727366,0.09564988503687677,0.0,0.0,0.0,-0.007485941051857633,0.9999719799507225,-0.014972021942907364
1,1774839655.628914,map,base_footprint,0.5645082532969168,0.08901592990276674,0.0,0.0,0.0,-0.046732339406127185,0.9989074473912137,-0.09349873205425764
2,1774839661.2782578,map,base_footprint,0.5953526792425645,0.07446195975114317,0.0,0.0,0.0,-0.04615653050294946,0.9989342194018234,-0.09234587014972398
3,1774839664.0405579,map,base_footprint,0.6558798037811542,0.07430647384619471,0.0,0.0,0.0,-0.03424521102627126,0.9994134607467353,-0.06850381596868706
4,1774839684.9920807,map,base_footprint,0.7416370584933509,0.07539936634947492,0.0,0.0,0.0,-0.060725457462400934,0.9981545064848338,-0.12152568241284752
5,1774839688.372523,map,base_footprint,0.8349427892017492,0.07080745531894223,0.0,0.0,0.0,-0.0511592806002352,0.9986905066177741,-0.10236324643361022
6,1774839691.2882826,map,base_footprint,0.9373523921610921,0.056613089023441365,0.0,0.0,0.0,-0.04602039720859307,0.9989405002505221,-0.09207331393224627
7,1774839696.0837924,map,base_footprint,1.0046818115777312,0.043167906270984824,0.0,0.0,0.0,-0.03743652079106957,0.99929900776047,-0.07489054162956277
8,1774839698.8803687,map,base_footprint,1.1236816595244372,0.03884047930755835,0.0,0.0,0.0,-0.040188523262150014,0.9991921149598848,-0.08039869865925449
9,1774839701.2914824,map,base_footprint,1.2346701760653882,0.027606492559251128,0.0,0.0,0.0,-0.06615508770835016,0.9978093527173919,-0.1324068751314065
10,1774839703.7201736,map,base_footprint,1.3512548647359324,-0.0006350385770158562,0.0,0.0,0.0,-0.05910627217215062,0.9982516960115378,-0.11828148304462024
11,1774839706.5149088,map,base_footprint,1.4587817807157866,-0.001554355221964121,0.0,0.0,0.0,-0.038537228299019635,0.999257165115682,-0.07709354680219115
12,1774839709.2793658,map,base_footprint,1.5743654102900309,-0.019493299529161512,0.0,0.0,0.0,-0.026059958279335566,0.9996603816169166,-0.0521258176542565
