idx tx ty tz qx qy qz qw
0.0 -3.469446951953614e-17 2.3283069916502086e-10 -2.3283064365386963e-10 8.6736171213901e-19 5.820765917874397e-11 -1.1368509961006004e-13 1.0
1.0 0.0031407643109560013 -0.038585465401411057 0.027409283444285393 -0.00615215883753131 0.013070158060325455 -0.0024952519386653126 0.9998925420402327
2.0 0.009944140911102295 -0.02080148458480835 0.11090406030416489 -0.004580063837477512 0.02342021961482554 -0.004579640193445757 0.999704728019297
3.0 0.05881965532898903 -0.02903609722852707 0.21616721153259277 -0.006135114779352946 0.029715876916944717 -0.004016941193737318 0.9995314858518202
4.0 0.013500815257430077 -0.03972714766860008 0.18606683611869812 -0.001928520999760024 0.04241560895227848 0.0008900398592038352 0.9990977953899258
5.0 -0.0071541927754879 -0.05382375791668892 0.25214913487434387 -0.0027796449518982793 0.03938200560636933 0.0011372432769157087 0.9992197145203302
6.0 0.01682676002383232 -0.025330107659101486 0.4275270700454712 -0.0017473600257216376 0.027766422482844725 -0.00040778872471268805 0.9996128281608838
7.0 -0.010006875731050968 -0.12041403353214264 0.39878177642822266 -0.008926833136256205 0.018061835624630172 0.0026307010171882908 0.9997935592692045
8.0 0.004030697979032993 -0.07102298736572266 0.5720252990722656 -0.0071279874255375415 0.012573961981787854 0.0006931647740052729 0.9998952979177059
9.0 0.0268831979483366 -0.05221535265445709 0.7264875769615173 -0.0056355864568348605 0.03895667247188613 0.0006054506458775658 0.9992248251843632
10.0 0.029520153999328613 -0.05502290278673172 0.8400787115097046 -0.005730589905763902 0.060592985107711994 0.00021328083132575852 0.9981460840009119
11.0 0.05700574070215225 -0.021083196625113487 0.9919869899749756 -0.003080336427550818 0.0351454185594407 -0.0008831238584992496 0.9993770715670963
12.0 0.04071623086929321 -0.04277023673057556 1.0784473419189453 -0.005782596024959842 0.009917069551589002 3.019664727835253e-05 0.9999341040303024
13.0 0.0438864566385746 -0.040050115436315536 1.2131595611572266 -0.006370117624533848 -0.006691490238910185 -0.0001615851736723613 0.9999573088137631
14.0 0.04397336766123772 -0.03637002781033516 1.354989767074585 -0.006488462686304582 0.0016408003416794167 0.00031232210472517414 0.9999775547886613
15.0 0.06289701908826828 0.002105442341417074 1.523480772972107 -0.002192240850343269 0.027747328333711713 -0.0018090304210741325 0.999610927941132
16.0 0.07091742753982544 -0.0037103446666151285 1.6541026830673218 -0.0015584836769883998 0.05920574898891526 -0.0015797599782944951 0.9982433344499231
