idx,t_sec,world_frame,base_frame,x,y,z,qx,qy,qz,qw,yaw_rad
0,1774839651.17659,map,base_footprint,0.483234298387274,0.0956498850368768,0,0,0,-0.00748594105185763,0.999971979950723,-0.0149720219429074
1,1774839655.62891,map,base_footprint,0.564508253296917,0.0890159299027667,0,0,0,-0.0467323394061272,0.998907447391214,-0.0934987320542576
2,1774839661.27826,map,base_footprint,0.595352679242565,0.0744619597511432,0,0,0,-0.0461565305029495,0.998934219401823,-0.092345870149724
3,1774839664.04056,map,base_footprint,0.655879803781154,0.0743064738461947,0,0,0,-0.0342452110262713,0.999413460746735,-0.0685038159686871
4,1774839684.99208,map,base_footprint,0.741637058493351,0.0753993663494749,0,0,0,-0.0607254574624009,0.998154506484834,-0.121525682412848
5,1774839688.37252,map,base_footprint,0.834942789201749,0.0708074553189422,0,0,0,-0.0511592806002352,0.998690506617774,-0.10236324643361
6,1774839691.28828,map,base_footprint,0.937352392161092,0.0566130890234414,0,0,0,-0.0460203972085931,0.998940500250522,-0.0920733139322463
7,1774839696.08379,map,base_footprint,1.00468181157773,0.0431679062709848,0,0,0,-0.0374365207910696,0.99929900776047,-0.0748905416295628
8,1774839698.88037,map,base_footprint,1.12368165952444,0.0388404793075584,0,0,0,-0.04018852326215,0.999192114959885,-0.0803986986592545
9,1774839701.29148,map,base_footprint,1.23467017606539,0.0276064925592511,0,0,0,-0.0661550877083502,0.997809352717392,-0.132406875131407
10,1774839703.72017,map,base_footprint,1.35125486473593,-0.000635038577015856,0,0,0,-0.0591062721721506,0.998251696011538,-0.11828148304462
11,1774839706.51491,map,base_footprint,1.45878178071579,-0.00155435522196412,0,0,0,-0.0385372282990196,0.999257165115682,-0.0770935468021912
12,1774839709.27937,map,base_footprint,1.57436541029003,-0.0194932995291615,0,0,0,-0.0260599582793356,0.999660381616917,-0.0521258176542565
13,1774839711.82979,map,base_footprint,1.69539319215681,-0.0242962297725198,0,0,0,-0.0196970550297361,0.999805994192451,-0.0393966578192304
14,1774839714.94304,map,base_footprint,1.82120052321904,-0.0313355778673818,0,0,0,-0.0275511448721175,0.9996203951582,-0.0551092631684317
15,1774839717.87828,map,base_footprint,1.93497387368689,-0.047555438118567,0,0,0,-0.0482513543574815,0.998835225050993,-0.0965401941595946
