idx,tx,ty,tz,qx,qy,qz,qw
0,-3.46944695195361E-17,2.32830699165021E-10,-2.3283064365387E-10,8.6736171213901E-19,5.8207659178744E-11,-1.1368509961006E-13,1
1,0.003140764310956,-0.0385854654014111,0.0274092834442854,-0.00615215883753131,0.0130701580603255,-0.00249525193866531,0.999892542040233
2,0.0099441409111023,-0.0208014845848084,0.110904060304165,-0.00458006383747751,0.0234202196148255,-0.00457964019344576,0.999704728019297
3,0.058819655328989,-0.0290360972285271,0.216167211532593,-0.00613511477935295,0.0297158769169447,-0.00401694119373732,0.99953148585182
4,0.0135008152574301,-0.0397271476686001,0.186066836118698,-0.00192852099976002,0.0424156089522785,0.000890039859203835,0.999097795389926
5,-0.0071541927754879,-0.0538237579166889,0.252149134874344,-0.00277964495189828,0.0393820056063693,0.00113724327691571,0.99921971452033
6,0.0168267600238323,-0.0253301076591015,0.427527070045471,-0.00174736002572164,0.0277664224828447,-0.000407788724712688,0.999612828160884
7,-0.010006875731051,-0.120414033532143,0.398781776428223,-0.00892683313625621,0.0180618356246302,0.00263070101718829,0.999793559269205
8,0.00403069797903299,-0.0710229873657227,0.572025299072266,-0.00712798742553754,0.0125739619817879,0.000693164774005273,0.999895297917706
9,0.0268831979483366,-0.0522153526544571,0.726487576961517,-0.00563558645683486,0.0389566724718861,0.000605450645877566,0.999224825184363
10,0.0295201539993286,-0.0550229027867317,0.840078711509705,-0.0057305899057639,0.060592985107712,0.000213280831325759,0.998146084000912
11,0.0570057407021523,-0.0210831966251135,0.991986989974976,-0.00308033642755082,0.0351454185594407,-0.00088312385849925,0.999377071567096
12,0.0407162308692932,-0.0427702367305756,1.07844734191895,-0.00578259602495984,0.009917069551589,3.01966472783525E-05,0.999934104030302
13,0.0438864566385746,-0.0400501154363155,1.21315956115723,-0.00637011762453385,-0.00669149023891019,-0.000161585173672361,0.999957308813763
14,0.0439733676612377,-0.0363700278103352,1.35498976707459,-0.00648846268630458,0.00164080034167942,0.000312322104725174,0.999977554788661
15,0.0628970190882683,0.00210544234141707,1.52348077297211,-0.00219224085034327,0.0277473283337117,-0.00180903042107413,0.999610927941132
16,0.0709174275398254,-0.00371034466661513,1.65410268306732,-0.0015584836769884,0.0592057489889153,-0.0015797599782945,0.998243334449923
17,0.0789002180099487,-0.00222268770448864,1.75602447986603,-0.000566769903766731,0.0839400205017174,-0.00257644898910447,0.996467316895368
18,0.111239537596703,-0.00554441846907139,1.89838218688965,-0.00284244070640493,0.00480097951740991,-0.000310958750225358,0.999984387093698
19,0.100113764405251,0.002172633074224,2.02635836601257,-0.00325782125035785,-0.0606929292366004,-0.00164971685429505,0.998149805077215
20,0.0865632221102715,-0.0128591349348426,2.16523194313049,-0.00385928191886134,-0.063413810085997,-0.00135123150201846,0.997978942065851
21,0.106358706951141,0.0150336427614093,2.27112507820129,-0.00117386696653899,-0.00505689057158319,0.000155985121678099,0.999986512690413
22,0.081376925110817,0.0300484951585531,2.37965035438538,0.00281206635149428,0.0768129322723202,-0.00306221327117629,0.997036854167611
23,0.0996723845601082,0.0387677364051342,2.51023411750793,0.00296110851585001,0.0650304906624414,-0.00202277471291301,0.997876833834226
24,0.171762868762016,0.0876405090093613,2.70126152038574,0.00506188383204393,-0.000550247690574987,-0.00158250931739914,0.999985785010872
25,0.0791154205799103,-0.00190208572894335,2.85095500946045,-0.00247326377972057,-0.0364322270448153,-0.000339426291403165,0.999333007855051
26,0.161383867263794,0.0753001719713211,2.93544578552246,0.00354810582634024,-0.0136958455007603,0.000578559391810403,0.999899744989514
27,0.17682945728302,0.0889525189995766,3.01333498954773,0.00486237672733952,0.0128801768609052,-0.000119931680469628,0.99990521748463
