idx,ts_system,world_frame,base_frame,x,y,z,qx,qy,qz,qw,yaw_rad,basename,original_timestamp
34,34.000000000,map3d,camera,0.419278383,-0.017269365,2.658471107,0.004129765648,0.178025598857,0.002343832780,0.984014399099,0.006494805456,000034,27.130866961
35,35.000000000,map3d,camera,0.453612447,-0.020441104,2.745764971,0.003477293373,0.144856368653,0.001178697436,0.989445881069,0.003486232791,000035,27.928833636
36,36.000000000,map3d,camera,0.488166213,-0.021463621,2.833626986,0.003317970828,0.118323354318,0.001425951717,0.992968550134,0.003721233363,000036,28.726800312
37,37.000000000,map3d,camera,0.497328520,-0.020405261,2.913548946,0.004791639653,0.147467368540,0.001260355757,0.989054511596,0.004083957935,000037,29.524766987
38,38.000000000,map3d,camera,0.520366251,-0.021083234,3.006631374,0.003851312764,0.183179003247,0.002831529897,0.983067954212,0.007480104724,000038,30.322733662
39,39.000000000,map3d,camera,0.537934601,-0.024546258,3.068136692,0.005008060804,0.197114190054,0.002731633690,0.980363939353,0.007947888904,000039,31.120700338
40,40.000000000,map3d,camera,0.587671340,-0.024576148,3.145776749,0.003660508688,0.105990408789,0.000942288836,0.994359968026,0.002710810859,000040,31.918667013
41,41.000000000,map3d,camera,0.601796567,-0.022058923,3.214370728,0.003517352067,0.121307777210,0.001378372885,0.992607753098,0.003698582789,000041,32.716633688
42,42.000000000,map3d,camera,0.597122192,-0.024935856,3.289958715,0.004846056111,0.189724979139,0.001590566293,0.981824026050,0.005347069565,000042,33.514600364
43,43.000000000,map3d,camera,0.630281568,-0.025424220,3.341352701,0.004590958743,0.138450698613,0.001781061139,0.990357084577,0.004990322707,000043,34.312567039
44,44.000000000,map3d,camera,0.658288836,-0.024629537,3.423329830,0.003518396929,0.124394949273,0.001133793224,0.992225897662,0.003225108391,000044,35.110533714
45,45.000000000,map3d,camera,0.674145818,-0.026685730,3.513859987,0.004238148068,0.140339265740,0.001176432442,0.990093704959,0.003663410838,000045,35.908500390
46,46.000000000,map3d,camera,0.693617344,-0.029065359,3.589900017,0.003589086869,0.153813793493,0.001084220423,0.988092738488,0.003407974611,000046,36.706467065
47,47.000000000,map3d,camera,0.711913824,-0.032454252,3.661247730,0.003651089187,0.149143733453,0.000919178910,0.988808359304,0.003042194137,000047,37.504433740
48,48.000000000,map3d,camera,0.744076014,-0.031024650,3.754034519,0.004043409895,0.131342309117,0.000345038257,0.991328769693,0.001808633574,000048,38.302400416
49,49.000000000,map3d,camera,0.767686069,-0.029905386,3.831593513,0.002265368406,0.116508717253,-0.000408128879,0.993187001697,-0.000290718951,000049,39.100367091
50,50.000000000,map3d,camera,0.783150256,-0.031252936,3.898674965,0.002226393353,0.114918544733,-0.000453839089,0.993372319566,-0.000400533871,000050,39.898333766
51,51.000000000,map3d,camera,0.800797880,-0.034834500,3.981388569,0.002531191182,0.112981627628,-0.000581935973,0.993593682669,-0.000599771946,000051,40.696300442
52,52.000000000,map3d,camera,0.811944425,-0.034805942,4.048084736,0.002421968336,0.126608811790,-0.000176266831,0.991949752647,0.000272319858,000052,41.494267117
53,53.000000000,map3d,camera,0.827728510,-0.035080582,4.115069866,0.002736924100,0.150529420455,0.000355079726,0.988601677493,0.001598479355,000053,42.292233792
54,54.000000000,map3d,camera,0.859218776,-0.035678320,4.202305794,0.002914559342,0.115636498207,-0.001039341795,0.993286779030,-0.001428885743,000054,43.090200468
55,55.000000000,map3d,camera,0.885054350,-0.033197451,4.287630081,0.001409210708,0.073166338391,-0.000187066802,0.997318738447,-0.000168723346,000055,43.888167143
56,56.000000000,map3d,camera,0.890721798,-0.034015648,4.336647034,0.001267786734,0.090293428521,-0.000864819583,0.995914023182,-0.001518385908,000056,44.686133818
57,57.000000000,map3d,camera,0.895025969,-0.035250030,4.389988899,0.001746208644,0.129091515526,0.000698347708,0.991630900933,0.001899144459,000057,45.484100494
58,58.000000000,map3d,camera,0.906432629,-0.037076853,4.468367577,0.000646388644,0.109952765582,0.000193075336,0.993936584619,0.000538985969,000058,46.282067169
59,59.000000000,map3d,camera,0.941403389,-0.036002979,4.573178291,0.000725179376,0.083931711211,0.000678431048,0.996471013978,0.001494866387,000059,47.080033844
60,60.000000000,map3d,camera,0.943089962,-0.037748985,4.634885311,0.000739591751,0.122634479775,0.000392154857,0.992451552263,0.000989552470,000060,47.878000519
61,61.000000000,map3d,camera,0.954375505,-0.036583461,4.726748943,0.000522893308,0.151774268245,0.001717629757,0.988413551015,0.003725838672,000061,48.675967195
62,62.000000000,map3d,camera,0.971783280,-0.038109474,4.787722588,0.001656484317,0.167246292396,0.001668766383,0.985912343445,0.004072419836,000062,49.473933870
63,63.000000000,map3d,camera,0.995653272,-0.037518121,4.869525909,0.001075661360,0.164354782476,0.001403954626,0.986399704654,0.003301675695,000063,50.271900545
64,64.000000000,map3d,camera,1.022484541,-0.038481049,4.947329998,0.000746852255,0.154284164280,0.001735642689,0.988024709412,0.003843136824,000064,51.069867221
65,65.000000000,map3d,camera,1.048880100,-0.038862184,5.045187473,0.000654916242,0.138948412634,0.001550493054,0.990298190285,0.003383554201,000065,51.867833896
66,66.000000000,map3d,camera,1.085746169,-0.039953850,5.159435272,-0.000689142883,0.115995951015,0.000671223698,0.993249220432,0.001205962373,000066,52.665800571
67,67.000000000,map3d,camera,1.100500703,-0.037127823,5.262422562,0.000457177012,0.131126442492,0.000368102104,0.991365478302,0.000880005322,000067,53.463767247
